,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
RG Sharma,8.194059371238534,1.6754298213604901,0.00036431515281293135,0.012091938329356533
Q de Kock,14.015289419361421,2.0640723543395443,0.00036431515281293135,0.012091938329356533
SA Yadav,14.884539182902838,1.3859059508047444,0.00036431515281293135,0.012091938329356533
SS Tiwary,3.281717737305031,1.2580519590822092,0.00036431515281293135,0.012091938329356533
HH Pandya,7.944503805471442,1.8413448827976666,0.00036431515281293135,0.012091938329356533
KA Pollard,9.83315695173583,1.0590989003228815,0.00036431515281293135,0.012091938329356533
KH Pandya,3.355652188152112,1.7028837894646203,0.00036431515281293135,0.012091938329356533
JL Pattinson,0.49299603326425034,0.46363745983512245,0.00036431515281293135,0.012091938329356533
RD Chahar,0.0973302695164841,0.5871026292923116,0.00036431515281293135,0.012091938329356533
TA Boult,0.0,0.0,0.00036431515281293135,0.012091938329356533
JJ Bumrah,0.17705382436260625,0.08068571428571428,0.00036431515281293135,0.012091938329356533
Ishan Kishan,15.388797428891433,1.4119733220854214,0.00036431515281293135,0.012091938329356533
NM Coulter-Nile,0.8348447808920285,0.273789132786098,0.00036431515281293135,0.012091938329356533
DS Kulkarni,0.10574550581600281,0.1350952380952381,0.00036431515281293135,0.012091938329356533
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
M Vijay,1.0643302283045446,0.8842898994680527,0.00043055754258495145,0.01225498493822239
SR Watson,8.627165038534141,1.6381224745386027,0.00043055754258495145,0.01225498493822239
F du Plessis,13.042565840794392,1.4612786902558532,0.00043055754258495145,0.01225498493822239
AT Rayudu,10.803210120270657,2.4012470535876536,0.00043055754258495145,0.01225498493822239
RA Jadeja,7.38106664593384,1.3468482195679314,0.00043055754258495145,0.01225498493822239
SM Curran,5.8929553568385105,1.320120600553714,0.00043055754258495145,0.01225498493822239
MS Dhoni,5.457995646139617,1.9641987517664434,0.00043055754258495145,0.01225498493822239
RD Gaikwad,6.677002446810458,0.8809870878490417,0.00043055754258495145,0.01225498493822239
KM Jadhav,2.1221252690071126,1.5592027378100433,0.00043055754258495145,0.01225498493822239
N Jagadeesan,1.4033197014991405,0.2619838219550248,0.00043055754258495145,0.01225498493822239
DL Chahar,0.23148987033134016,0.25410843821186807,0.00043055754258495145,0.01225498493822239
SN Thakur,0.35190723281100583,1.04472720235613,0.00043055754258495145,0.01225498493822239
Imran Tahir,0.4642006524750498,0.2851201101738744,0.00043055754258495145,0.01225498493822239
DJ Bravo,0.16847445300790223,0.349154001461608,0.00043055754258495145,0.01225498493822239
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
PP Shaw,6.0817362010018705,1.502060404006058,0.00040375732031843197,0.011299504205653333
S Dhawan,18.19531201720753,1.6406067300808342,0.00040375732031843197,0.011299504205653333
SO Hetmyer,5.862853847126428,1.0164775747190733,0.00040375732031843197,0.011299504205653333
SS Iyer,14.746961178290311,2.4778352705188906,0.00040375732031843197,0.011299504205653333
